data;descricao;valor;tipo;contraparte;vencimento;data_pagamento;data_recebimento;documento;observacao
05/01/2026;Pagamento cliente Tech Solutions - NF 1234;8500.00;ENTRADA;Tech Solutions;10/01/2026;;08/01/2026;NF-1234;Projeto site institucional
05/01/2026;Aluguel escritório - Janeiro;3200.00;SAIDA;Imobiliária Central;05/01/2026;05/01/2026;;BOL-001;Contrato anual
07/01/2026;Venda produto X - Pedido #456;2300.00;ENTRADA;Cliente ABC;15/01/2026;;;NF-456;E-commerce - aguardando pagamento
08/01/2026;Google Ads - Campanha Janeiro;1500.00;SAIDA;Google;08/01/2026;08/01/2026;;FAT-ADS;Marketing digital
10/01/2026;Salário João Silva - Janeiro;5500.00;SAIDA;;10/01/2026;10/01/2026;;FOL-001;CLT
10/01/2026;Salário Maria Santos - Janeiro;4800.00;SAIDA;;10/01/2026;10/01/2026;;FOL-002;CLT
12/01/2026;Conta de luz - Janeiro;680.00;SAIDA;Enel;15/01/2026;;;FAT-LUZ;Escritório centro - pendente
15/01/2026;Mensalidade cliente ABC Corp;4200.00;ENTRADA;ABC Corp;20/01/2026;;15/01/2026;NF-789;Plano Professional
15/01/2026;Assinatura AWS - Janeiro;890.00;SAIDA;Amazon AWS;15/01/2026;15/01/2026;;FAT-AWS;Cloud hosting
18/01/2026;Pagamento fornecedor Materiais SA;3400.00;SAIDA;Materiais SA;20/01/2026;;;NF-321;Matéria-prima - pendente
20/01/2026;Comissão vendedor Pedro;850.00;SAIDA;;25/01/2026;20/01/2026;;;5% sobre vendas
22/01/2026;Rendimento CDB Banco Inter;120.00;ENTRADA;Banco Inter;22/01/2026;;22/01/2026;;Aplicação financeira
25/01/2026;DAS Simples Nacional - Janeiro;1850.00;SAIDA;Receita Federal;25/01/2026;25/01/2026;;DAS-001;Imposto mensal
28/01/2026;Venda consultoria - Projeto Delta;12000.00;ENTRADA;Delta Corp;05/02/2026;;;NF-999;Consultoria estratégica - aguardando
30/01/2026;Internet e telefone - Janeiro;350.00;SAIDA;Vivo Empresas;05/02/2026;;;FAT-TEL;Pendente
